N,P,K,temperature,humidity,ph,rainfall,label
102.52,52.93,55.35,29.15,81.95,5.28,214.99,rice
108.17,78.37,51.09,31.06,91.83,6.63,123.89,banana
29.08,138.16,213.09,13.35,80.59,7.07,84.97,grapes
98.95,56.08,66.21,20.86,66.04,5.88,68.27,maize
102.89,57.08,66.98,25.27,61.93,7.73,71.83,maize
27.21,130.16,210.82,14.06,76.31,6.29,77.81,apple
108.5,55.5,50.32,26.66,96.83,5.38,223.58,rice
87.31,55.17,44.02,29.19,93.55,6.91,193.8,rice
26.43,119.61,216.98,15.28,93.0,6.7,77.07,grapes
33.78,69.03,63.12,17.71,43.63,5.62,99.77,kidneybeans
114.51,85.84,41.11,23.52,87.15,6.03,47.99,watermelon
32.75,142.68,204.96,15.52,96.59,5.44,93.28,grapes
27.76,68.86,67.14,17.89,42.73,7.01,94.44,kidneybeans
22.32,143.31,191.73,14.12,74.61,5.97,74.16,apple
96.5,51.68,54.59,21.16,55.52,6.53,82.5,maize
150.28,45.68,49.58,28.06,57.21,6.25,85.09,cotton
104.49,46.24,44.2,28.91,84.98,5.99,229.16,rice
28.68,130.79,204.96,14.51,94.81,5.43,96.69,apple
51.78,70.18,91.21,23.13,28.38,6.52,56.31,chickpea
102.22,60.63,64.02,24.88,73.06,6.23,83.6,maize
125.35,113.29,40.93,28.54,91.42,5.78,42.75,watermelon
90.01,53.28,65.06,20.47,72.54,7.46,64.41,maize
29.83,74.0,53.56,21.39,46.95,7.1,97.53,kidneybeans
90.44,57.84,57.45,18.89,68.6,7.6,85.65,maize
26.71,146.61,235.49,17.1,96.65,6.99,82.45,apple
130.5,51.92,46.88,28.12,68.86,7.36,68.64,cotton
148.26,55.69,54.36,24.67,69.05,6.95,70.58,cotton
86.97,46.63,52.0,27.39,80.54,7.12,227.06,rice
27.53,139.77,258.58,16.21,77.4,5.79,81.83,apple
30.08,121.95,238.88,14.55,92.83,5.71,99.65,grapes
106.9,45.52,47.18,31.01,88.82,6.08,226.19,rice
99.29,111.91,38.44,28.35,80.98,6.13,41.28,watermelon
25.24,125.49,201.37,15.56,95.59,6.21,92.7,apple
32.62,121.27,200.91,16.56,73.76,5.73,90.47,grapes
86.92,68.79,62.53,24.39,60.34,7.34,83.83,maize
86.83,56.04,53.47,20.02,72.5,6.95,77.94,maize
94.94,73.96,48.13,25.0,83.06,5.3,159.59,banana
114.77,87.89,59.97,28.65,71.09,6.45,160.05,banana
101.81,100.23,43.92,27.52,97.32,5.69,39.62,watermelon
33.34,63.43,54.33,21.48,42.28,6.89,79.37,kidneybeans
28.0,59.97,60.69,19.67,43.11,5.43,90.32,kidneybeans
52.43,61.38,85.24,25.21,24.28,6.04,60.99,chickpea
24.0,140.01,242.62,16.51,83.26,6.55,95.71,apple
96.23,105.58,39.62,27.72,92.74,5.55,42.56,watermelon
28.06,75.98,63.87,21.03,43.64,6.24,83.19,kidneybeans
107.36,55.28,68.68,19.81,72.51,6.05,79.7,maize
150.27,44.24,48.02,27.65,73.85,7.06,63.79,cotton
110.55,54.96,43.8,30.09,78.47,6.13,232.45,rice
26.07,117.67,204.37,15.71,83.44,6.89,75.76,grapes
61.21,76.58,102.25,23.28,28.5,6.93,70.26,chickpea
58.23,72.35,88.28,23.52,25.97,7.79,64.68,chickpea
54.76,68.69,93.84,23.3,22.67,6.16,62.03,chickpea
28.65,132.02,234.58,13.4,79.08,5.96,80.6,apple
34.44,114.69,231.3,15.52,85.67,6.82,81.37,grapes
105.57,50.67,57.17,25.86,82.4,5.62,199.5,rice
24.93,129.98,248.65,17.21,77.91,6.11,90.58,apple
95.66,97.96,42.36,28.19,83.55,6.77,45.52,watermelon
27.34,139.86,197.9,16.32,82.38,6.74,96.47,apple
55.83,65.65,89.04,23.28,23.31,6.86,65.48,chickpea
113.75,48.45,53.23,23.57,89.86,6.44,198.13,rice
157.7,47.87,43.85,25.85,61.16,7.35,69.02,cotton
121.96,53.49,57.43,26.48,59.01,6.64,78.54,cotton
122.19,85.24,43.94,23.76,88.77,5.72,50.58,watermelon
96.67,67.14,56.97,23.69,57.98,7.91,80.04,maize
30.5,143.44,206.03,17.05,84.09,5.56,76.52,grapes
28.09,111.41,196.96,14.45,82.74,5.79,81.53,apple
105.47,91.91,51.04,25.23,81.8,5.72,40.49,watermelon
101.13,62.95,54.93,20.33,69.97,7.67,65.59,maize
26.38,61.68,59.03,18.32,38.33,5.63,77.14,kidneybeans
135.42,50.42,46.75,26.47,59.05,7.64,72.61,cotton
25.69,141.91,200.97,14.82,90.37,6.28,79.87,grapes
26.31,146.22,197.49,15.88,73.53,5.42,98.28,grapes
54.87,80.19,111.91,24.43,24.93,7.79,73.11,chickpea
153.23,48.03,51.78,26.19,64.52,6.72,67.98,cotton
27.79,119.41,216.0,17.24,84.45,5.58,96.23,grapes
33.29,141.33,241.82,15.67,79.95,5.72,74.38,grapes
146.94,54.52,53.04,25.74,61.27,7.91,66.53,cotton
52.4,69.02,102.72,20.22,24.14,6.0,59.2,chickpea
33.39,72.37,64.71,18.58,38.7,6.93,85.02,kidneybeans
91.14,67.47,60.94,23.82,62.67,6.97,71.83,maize
24.55,115.22,222.89,13.03,89.78,5.64,94.5,apple
96.04,81.66,60.18,25.06,72.38,6.65,150.42,banana
113.69,70.75,60.72,24.41,86.32,6.4,154.31,banana
26.89,80.45,63.06,17.81,35.73,5.3,95.98,kidneybeans
128.82,52.18,47.89,21.87,71.68,6.93,78.23,cotton
48.51,72.33,90.63,24.84,24.2,6.71,70.49,chickpea
158.65,48.04,56.78,25.76,63.22,6.12,76.61,cotton
99.44,75.2,50.58,26.25,79.64,6.75,135.47,banana
31.06,78.55,57.65,21.11,40.49,5.29,80.1,kidneybeans
